Index,Station code,Station name,اسم المحطة,Metro line number,Metro line name,اسم مسار القطار,Station type code,Station type,نوع المحطة,Sequence of the stops,Comments,التعليقات,Geographical coordinates,geo_point_2d
44,S57,Harun Ar Rashid Road,طريق هارون الرشيد,Line3,Orange line,المسار البرتقالي,3,Shallow Underground,تحت الأرض على عمق ضحل,59,"Modification on the 26.03.2025, the English name of the station has been changed from ""Harun Ar Rashid Rd."" to ""Harun Ar Rashid Road"".",تعديل بتاريخ 26.03.2025، تم تغيير الاسم الإنجليزي للمحطة من ”Harun Ar Rashid Rd.“ إلى ”Harun Ar Rashid Road“.,"{""coordinates"": [46.79601710504106, 24.68608501392891], ""type"": ""Point""}","24.68608501392891, 46.79601710504106"
50,S03,KAFD,المركز المالي,Line4,Yellow line,المسار الأصفر,1,Elevated,مرتفع,63,,,"{""coordinates"": [46.64360617754577, 24.7681786337211], ""type"": ""Point""}","24.7681786337211, 46.64360617754577"
69,S16,National Museum,المتحف الوطني,Line5,Green line,المسار الأخضر,4,Deep Underground,تحت الأرض على عمق كبير,72,,,"{""coordinates"": [46.71427983670233, 24.64607279558212], ""type"": ""Point""}","24.64607279558212, 46.71427983670233"
42,S73,GOSI,التأمينات الاجتماعية,Line5,Green line,المسار الأخضر,4,Deep Underground,تحت الأرض على عمق كبير,77,,,"{""coordinates"": [46.71819918138066, 24.686692275556], ""type"": ""Point""}","24.686692275556, 46.71819918138066"
71,S74,Officers Club,نادي الضباط,Line5,Green line,المسار الأخضر,4,Deep Underground,تحت الأرض على عمق كبير,78,,,"{""coordinates"": [46.71802902980748, 24.69752283785252], ""type"": ""Point""}","24.69752283785252, 46.71802902980748"
51,S03,KAFD,المركز المالي,Line6,Purple line,المسار البنفسجي,1,Elevated,مرتفع,84,,,"{""coordinates"": [46.64360617754577, 24.7681786337211], ""type"": ""Point""}","24.7681786337211, 46.64360617754577"
31,S61,Ar Rabi,الربيع,Line6,Purple line,المسار البنفسجي,1,Elevated,مرتفع,85,,,"{""coordinates"": [46.66057921262878, 24.78629157966825], ""type"": ""Point""}","24.78629157966825, 46.66057921262878"
98,S62,Uthman Bin Affan Road,طريق عثمان بن عفان,Line6,Purple line,المسار البنفسجي,1,Elevated,مرتفع,86,,,"{""coordinates"": [46.69634901482668, 24.80050291216557], ""type"": ""Point""}","24.80050291216557, 46.69634901482668"
83,S63,SABIC,سابك,Line6,Purple line,المسار البنفسجي,3,Shallow Underground,تحت الأرض على عمق ضحل,87,,,"{""coordinates"": [46.70959638581176, 24.80735674485716], ""type"": ""Point""}","24.80735674485716, 46.70959638581176"
25,S80,Al Yarmuk,اليرموك,Line6,Purple line,المسار البنفسجي,1,Elevated,مرتفع,89,,,"{""coordinates"": [46.76642231187255, 24.79102722793817], ""type"": ""Point""}","24.79102722793817, 46.76642231187255"
54,S82,Khurais Road,طريق خريص,Line6,Purple line,المسار البنفسجي,1,Elevated,مرتفع,92,"Modification on 26.03.2025, the English name of the station has been changed from ""Khurais Rd."" to ""Khurais Road"".","تعديل بتاريخ 26.03.2025، تم تغيير الاسم الإنجليزي للمحطة من ""Khurais Rd."" إلى ""Khurais Road"".","{""coordinates"": [46.80009645445539, 24.73808432123275], ""type"": ""Point""}","24.73808432123275, 46.80009645445539"
32,S83,As Salam,السلام,Line6,Purple line,المسار البنفسجي,1,Elevated,مرتفع,93,,,"{""coordinates"": [46.8114455888186, 24.72219711748086], ""type"": ""Point""}","24.72219711748086, 46.8114455888186"
86,S07,stc,stc,Line1,Blue line,المسار الأزرق,4,Deep Underground,تحت الأرض على عمق كبير,7,,,"{""coordinates"": [46.66687987819414, 24.72679705304654], ""type"": ""Point""}","24.72679705304654, 46.66687987819414"
26,S10,Alinma Bank,مصرف الانماء,Line1,Blue line,المسار الأزرق,4,Deep Underground,تحت الأرض على عمق كبير,10,,,"{""coordinates"": [46.68032471057251, 24.70316648220116], ""type"": ""Point""}","24.70316648220116, 46.68032471057251"
17,S14,Al Muorabba,المربع,Line1,Blue line,المسار الأزرق,4,Deep Underground,تحت الأرض على عمق كبير,14,,,"{""coordinates"": [46.70244592563306, 24.66485076093648], ""type"": ""Point""}","24.66485076093648, 46.70244592563306"
8,S17,Al Bat'ha,البطحاء,Line1,Blue line,المسار الأزرق,4,Deep Underground,تحت الأرض على عمق كبير,17,,,"{""coordinates"": [46.71523382845812, 24.63793144884599], ""type"": ""Point""}","24.63793144884599, 46.71523382845812"
19,S19,Al Owd,العود,Line1,Blue line,المسار الأزرق,4,Deep Underground,تحت الأرض على عمق كبير,19,,,"{""coordinates"": [46.72101788739987, 24.62531899374494], ""type"": ""Point""}","24.62531899374494, 46.72101788739987"
